candidate,train_score_vs_gr,hold_score_vs_gr,hold_rank,ramp95_kw_per_min_delta_vs_gr,cap_violation_pct_total_delta_vs_gr,throughput_kwh_delta_vs_gr,idod_delta_vs_gr,flip_per_day_delta_vs_gr,split_id,base_soft_low,prep_power_cap_kw,lookahead_gain,min_useful_cmd_kw
Candidate_05,0.17066966244118204,-0.004847559516279468,12,0.007913308039753986,0.0,0.07912716663090968,1.0542321594300264e-05,-0.6666666666666679,severe_to_mild,0.32,4.0,0.01,0.5
Candidate_01,-0.05390386072319214,0.18927889552794797,1,0.0013010306818017625,0.0,0.3859091762013831,-2.9992389389327375e-05,1.875,short_medium_to_core,0.32,3.0,0.01,0.25
Candidate_02,-0.05390386072319214,0.19322070587345888,2,0.005602585416092154,0.0,0.4097827850202851,-3.103434396939408e-05,1.75,short_medium_to_core,0.32,4.0,0.01,0.25
Candidate_03,-0.05390386072319214,0.19902173015599528,3,0.005602585416092154,0.0,0.4335507929716558,-3.2914046706810935e-05,1.75,short_medium_to_core,0.32,5.0,0.01,0.25
Candidate_05,-0.027692768194832736,0.204937475459011,4,0.005602585416092154,0.0,0.4063823766736716,-3.0142721673320858e-05,2.0,short_medium_to_core,0.32,4.0,0.01,0.5
Candidate_04,-0.04797430715151395,0.24950963920131608,5,0.006553604476193797,0.0,0.5174108062504503,1.4711108833462792e-05,2.25,short_medium_to_core,0.32,4.0,0.02,0.25
Candidate_07,-0.05390386072319214,0.43126012240322464,6,0.01786077033065503,0.0,0.626430600310738,-7.611064006819907e-05,5.25,short_medium_to_core,0.34,4.0,0.01,0.25
Candidate_06,-0.05390386072319214,0.4964235262520056,7,0.015950712765508968,0.0,0.5939052345253719,-7.337993526461829e-05,6.75,short_medium_to_core,0.34,3.0,0.01,0.25
Candidate_08,-0.04797430715151395,0.5393459184307554,8,0.01731946894534886,0.0,0.7707300849816265,-2.541429013333497e-05,6.625,short_medium_to_core,0.34,4.0,0.02,0.25
Candidate_09,-0.04825918963771443,0.5516468329624725,9,0.017645648983149798,0.0,0.7677863370195386,-2.2605337007491986e-05,6.875,short_medium_to_core,0.34,4.0,0.02,0.5
Candidate_10,-0.04825918963771443,0.90115828546734,10,0.03996998670932683,0.017361111111111112,1.1902928123744676,-3.1428354104345683e-05,10.625,short_medium_to_core,0.36,4.0,0.02,0.5
Candidate_11,-0.03619222283578611,1.0220949436924864,11,0.05738730886144516,0.026041666666666668,1.5248316137218572,0.00033555197422991626,10.125,short_medium_to_core,0.36,5.0,0.04,0.5
Candidate_12,-0.03619222283578611,1.1680350224713016,12,0.057950660639232154,0.017361111111111112,2.003669509069689,0.00015926349789900022,11.25,short_medium_to_core,0.38,5.0,0.04,0.5
